workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,screening_status,source_sheet
1143,2023,“real attackers don't compute gradients”: bridging the gap between adversarial ml research and practice,g. apruzzese; h. s. anderson; s. dambra; d. freeman; f. pierazzi; k. roundy,ieee conference on secure and trustworthy machine learning (satml),ieee,116,0,58,,h5-index,excluded,excluded
1158,2024,denoising diffusion generative adversarial network integrating multi-scale cnn,y. cao; f. dong; z. xin; z. wei; l. han,ieee data driven control and learning systems conference (ddcls),ieee,0,13,0,,h5-index,excluded,excluded
1159,2023,enhanced intrusion detection system using pearson correlation based long short-term memory,r. phadke; k. s. kumar; m. almusawi; n. baskar; z. a. almoussawi,international conference on integrated intelligence and communication systems (iciics),ieee,0,1,0,,h5-index,excluded,excluded
1163,2024,intrusion detection and prevention system for ddos attacks using hybrid cnn architecture,s. rathika; d. aggarwal; x. v k; p. r. rege; n. thangarasu; p. kaur,global conference on communications and information technologies (gccit),ieee,0,0,0,,h5-index,excluded,excluded
1184,2024,intrusion detection landscape: exploring progress and confronting challenges in security advances,m. usman f; p. s; s. m r; y. b; s. b. k n; t. akash k; m. r. ahmed,international conference on integrated circuits and communication systems (icicacs),ieee,0,7,0,,h5-index,excluded,excluded
1185,2024,a feature selection based decisive red fox algorithm with deep learning for protecting cybersecurity network,s. dontu; s. r. addula; p. kumar pareek; r. vallabhaneni; m. h. fallah,international conference on intelligent algorithms for computational intelligence systems (iacis),ieee,0,0,0,,h5-index,excluded,excluded
1186,2024,introspective intrusion detection system through explainable ai,b. g. paltun; r. fuladi,cyber security in networking conference (csnet),ieee,1,12,1,,h5-index,excluded,excluded
1206,2024,an ensemble approach to identify intrusions in edge iot and iiot networks,v. kurnala; s. r. kalam,global conference on communications and information technologies (gccit),ieee,0,0,0,,h5-index,excluded,excluded
1208,2024,ai-powered video surveillance for enhanced intrusion detection,c. sivakumar; t. k. vali; p. s. b. reddy; m. l. meghana; y. sukumar,international conference on iot based control networks and intelligent systems (icicnis),ieee,0,0,0,,h5-index,excluded,excluded
1210,2023,improving the detection of unknown ddos attacks through continual learning,b. nugraha; k. yadav; p. patil; t. bauschert,ieee international conference on cyber security and resilience (csr),ieee,2,12,1,,h5-index,excluded,excluded
1211,2023,application of deep learning for intrusion detection and cyber-attack detection using internet of things networks,a. gautam; s. rathare; g. bhatnagar; s. ikhar; s. s. dari; v. k. gupta,international conference on data science and network security (icdsns),ieee,0,6,0,,h5-index,excluded,excluded
1218,2023,end-to-end network security solutions using deep learning algorithms,sonulal; m. n. reddy; n. bhatt; s. pandey,ieee international conference on ict in business industry & government (ictbig),ieee,0,3,0,,h5-index,excluded,excluded
1219,2023,intrusion detection in healthcare using sand-cat optimization based long-short term memory,r. ramya; a. h. a. hussein; m. m. adnan; n. shilpa; s. priya,international conference on integrated intelligence and communication systems (iciics),ieee,1,1,0.5,,h5-index,excluded,excluded
1222,2024,predictive vigilance: ai and ml methods for ddos attack detection and forecasting,ravikumar.s; r. p; r. s; k. a. kumar; s. s,global conference on communications and information technologies (gccit),ieee,0,0,0,,h5-index,excluded,excluded
1223,2024,cyberattack risk classification for detecting intrusions through n euro- fuzzy inference based generative adversarial networks,m. torres; s. m. errapotu; v. gonzalez,"international conference on electrical, computer and energy technologies (icecet)",ieee,0,13,0,,h5-index,excluded,excluded
1234,2023,transfer learning innovations in network security and threat intelligence,a. mishra; s. kumar; d. pipalia; r. vaish,ieee international conference on ict in business industry & government (ictbig),ieee,0,3,0,,h5-index,excluded,excluded
1236,2023,building ddos resilient sdns using hybridised deep learning methods,j. mateus; g. -a. l. zodi; a. bagula; m. landry,international conference on emerging trends in networks and computer communications (etncc),ieee,2,0,1,,h5-index,excluded,excluded
1248,2024,deep graph learning for ddos detection and multi-class classification ids,b. j. saunders; r. e. de grande; g. h. s. carvalho; i. woungang,ieee international conference on cyber security and resilience (csr),ieee,0,12,0,,h5-index,excluded,excluded
1263,2023,a feature-aware semi-supervised learning approach for automotive ethernet,k. h. shibly; m. d. hossain; h. inoue; y. taenaka; y. kadobayashi,ieee international conference on cyber security and resilience (csr),ieee,5,12,2.5,,h5-index,excluded,excluded
1273,2023,efficient early anomaly detection of network security attacks using deep learning,t. ahmad; d. truscan,ieee international conference on cyber security and resilience (csr),ieee,3,12,1.5,,h5-index,excluded,excluded
1284,2022,a co-evolutionary algorithm-based malware adversarial sample generation method,f. wang; y. lu; q. li; c. wang; y. bai,ieee conference on dependable and secure computing (dsc),ieee,1,14,0.33333333333333331,,h5-index,excluded,excluded
1290,2024,iot network intrusion detection with deep learning and voice alerts,d. s; d. m. r. s,international conference on iot based control networks and intelligent systems (icicnis),ieee,0,0,0,,h5-index,excluded,excluded
1293,2024,using generative adversarial networks for anomaly detection in network traffic: advancements in ai cybersecurity,r. changala; s. kayalvili; m. farooq; l. m. rao; v. s. rao; s. muthuperumal,international conference on data science and network security (icdsns),ieee,2,6,2,,h5-index,excluded,excluded
1308,2024,roadmap for integrating open ran and ai for intrusion detection systems in 6g networks,l. a. c. ahakonye; c. i. nwakanma; d. -s. kim,international conference on information and communication technology convergence (ictc),ieee,0,0,0,,h5-index,excluded,excluded
1315,2024,enhancing cybersecurity: the development of a flexible deep learning model for enhanced anomaly detection,h. gonaygunta; g. s. nadella; p. pramod pawar; d. kumar,systems and information engineering design symposium (sieds),ieee,51,11,51,,h5-index,excluded,excluded
1319,2024,"security and privacy-preserving for machine learning models: attacks, countermeasures, and future directions",f. el-husseini; h. noura; f. vernier,cyber security in networking conference (csnet),ieee,0,12,0,,h5-index,excluded,excluded
1321,2023,hybrid optimization based convolutional neural network for intrusion detection system,s. n; b. girirajan; k. s. kumar; b. s. d. priya; s. m,international conference on evolutionary algorithms and soft computing techniques (easct),ieee,0,3,0,,h5-index,excluded,excluded
1323,2023,a two-layer dimension reduction and two-tier classification model for anomaly-based intrusion detection in iot,r. n. kamath; a. amrutha; s. jangirala; s. bharathidasan,international conference on evolutionary algorithms and soft computing techniques (easct),ieee,1,3,0.5,,h5-index,excluded,excluded
1324,2023,generative adversarial networks for cybersecurity threat,a. c. ojha; a. agarwal; g. swetha,international conference on recent advances in science and engineering technology (icraset),ieee,0,0,0,,h5-index,excluded,excluded
1325,2023,evolutionary algorithms for deep learning in secure network environments,j. omkar; n. patel; v. rawat,ieee international conference on ict in business industry & government (ictbig),ieee,0,3,0,,h5-index,excluded,excluded
1342,2024,fortifying smart city iot networks: a deep learning-based attack detection framework with optimized feature selection using mgs-roa,r. v. rayala; c. r. borra; p. k. pareek; s. cheekati,international conference on recent advances in science and engineering technology (icraset),ieee,0,0,0,,h5-index,excluded,excluded
1377,2024,research on communication network attack detection and defense mechanism based on deep learning,l. ludun,"ieee international conference on automation, electronics and electrical engineering (auteee)",ieee,0,11,0,,h5-index,excluded,excluded
1382,2024,exploring automated defense technology of artificial intelligence in network security,w. ye; l. zhou; j. mo; z. zeng,international conference on distributed computing and electrical circuits and electronics (icdcece),ieee,0,11,0,,h5-index,excluded,excluded
1385,2024,leveraging artificial intelligence and machine learning for enhanced privacy and security,s. rani; n. kumar; a. srivastva; a. sharma,ieee international conference on blockchain and distributed systems security (icbds),ieee,2,6,2,,h5-index,excluded,excluded
1395,2024,a tale of two methods: unveiling the limitations of gan and the rise of bayesian networks for synthetic network traffic generation,a. schoen; g. blanc; p. -f. gimenez; y. han; f. majorczyk; l. me,ieee european symposium on security and privacy workshops (euros&pw),ieee,2,0,2,,h5-index,excluded,excluded
1403,2025,artificial intelligence for cybersecurity: a state of the art,a. a. siam; m. m. hassan; t. bhuiyan,ieee international conference on ai in cybersecurity (icaic),ieee,0,0,,,h5-index,excluded,excluded
1405,2024,iot security detection and evaluation for smart cyber infrastructures using lstms with attention mechanism,s. e. v. s. pillai; k. polimetla; c. s. prakash; p. k. pareek; p. p. pawar,international conference on distributed computing and electrical circuits and electronics (icdcece),ieee,1,11,1,,h5-index,excluded,excluded
1421,2024,machine learning-based feature selection for intrusion detection systems in iec 61850-based digital substations,a. eynawi; a. mumrez; g. elbez; v. hagenmeyer,"ieee international conference on communications, control, and computing technologies for smart grids (smartgridcomm)",ieee,0,0,0,,h5-index,excluded,excluded
1425,2023,robust anomaly detection in network traffic using deep learning models,a. nema; r. s. tomar; a. mani,ieee international conference on ict in business industry & government (ictbig),ieee,1,3,0.5,,h5-index,excluded,excluded
1439,2024,enhancing ids with ensemble lstm networks using real and gan data,r. saia; s. carta; g. fenu; a. s. podda; l. pompianu,international telecommunication networks and applications conference (itnac),ieee,0,14,0,,h5-index,excluded,excluded
1440,2024,leveraging ai for enhanced botnet detection - a review of machine learning approach for cybersecurity,h. sonune; n. kulkarni,ieee international conference on blockchain and distributed systems security (icbds),ieee,0,6,0,,h5-index,excluded,excluded
1453,2024,enhancing cybersecurity in the digital age with machine learning for threat detection and prevention,p. j. jayarin; d. b. david; jenifa; v. s. kumari; n. m. pillai,international conference on recent advances in science and engineering technology (icraset),ieee,0,0,0,,h5-index,excluded,excluded
1466,2024,detection evasion using ebpf for linux fileless malware,y. takabayashi; m. mambo,ieee conference on dependable and secure computing (dsc),ieee,0,14,0,,h5-index,excluded,excluded
1467,2022,network anomaly detection based on domain adaptation for 5g network security,h. -j. kim; j. lee; c. park; j. -g. park,international conference on information and communication technology convergence (ictc),ieee,5,0,1.666666666666667,,h5-index,excluded,excluded
1477,2023,novel anomaly detection scheme for cyber physical system using c-gan in fog assisted iot environment,a. mathur; s. a. babu,international conference on distributed computing and electrical circuits and electronics (icdcece),ieee,0,11,0,,h5-index,excluded,excluded
1481,2023,evaluating machine learning approaches for cyber and physical anomalies in scada systems,l. faramondi; f. flammini; s. guarino; r. setola,ieee international conference on cyber security and resilience (csr),ieee,11,12,5.5,,h5-index,excluded,excluded
1503,2024,hyper q-learning algorithm for pursuit-evasion games with misperceptions,y. li; h. zhang; s. liang,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
1528,2024,analytical solution for escape region in coplanar spacecraft pursuit- evasion game,q. yang; y. luo; z. li; y. xiao,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
1532,2024,effective anomaly detection in 5g networks via transformer-based models and contrastive learning,s. sheikhi; p. kostakos; s. pirttikangas,cyber security in networking conference (csnet),ieee,0,12,0,,h5-index,excluded,excluded
1535,2022,lstm-based anomalous behavior detection in multi-agent reinforcement learning,c. lischke; t. liu; j. mccalmon; m. a. rahman; t. halabi; s. alqahtani,ieee international conference on cyber security and resilience (csr),ieee,1,12,0.33333333333333331,,h5-index,excluded,excluded
1543,2023,preprocessing network traffic using topological data analysis for data poisoning detection,g. f. monkam; m. j. d. lucia; n. d. bastian,ieee conference on dependable and secure computing (dsc),ieee,1,14,0.5,,h5-index,excluded,excluded
1548,2024,classifying network abnormalities into faults and attacks in iot-based cyber-physical systems using machine learning,p. j. kumar; l. h. j. alzubaidi; n. nagarjuna; r. deshmukh; m. g k,international conference on integrated circuits and communication systems (icicacs),ieee,40,7,40,,h5-index,excluded,excluded
1553,2024,ensemble models for cyber attacks detection on multiple datasets,y. s. kumar; a. mary sowjanya,international conference on iot based control networks and intelligent systems (icicnis),ieee,0,0,0,,h5-index,excluded,excluded
1560,2023,neural architectures for secure data transmission in next-gen networks,p. aggarwal,ieee international conference on ict in business industry & government (ictbig),ieee,1,3,0.5,,h5-index,excluded,excluded
1572,2023,hybrid grasshopper whale optimization algorithm based on faster recurrent convolutional neural network for intrusion detection system in internet of things,s. s. kumar; v. goutham; y. prathima; r. unnisa; a. t m,international conference on evolutionary algorithms and soft computing techniques (easct),ieee,0,3,0,,h5-index,excluded,excluded
1596,2022,malicious and benign url dataset generation using character-level lstm models,s. vecile; k. lacroix; k. grolinger; j. samarabandu,ieee conference on dependable and secure computing (dsc),ieee,5,14,1.666666666666667,,h5-index,excluded,excluded
1609,2024,improving network security with hybrid model for ddos attack detection,m. dandotiya; r. r. singh makwana,ieee international conference on blockchain and distributed systems security (icbds),ieee,0,6,0,,h5-index,excluded,excluded
1630,2024,network threat awareness model with smart grid for big data analysis,h. dang; d. shao; l. yue,international conference on distributed computing and electrical circuits and electronics (icdcece),ieee,0,11,0,,h5-index,excluded,excluded
1634,2023,"genai in the cyber kill chain: a comprehensive review of risks, threat operative strategies and adaptive defense approaches",a. s. deshpande; s. gupta,ieee international conference on ict in business industry & government (ictbig),ieee,4,3,2,,h5-index,excluded,excluded
