workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
2258,2023,parameter identification of a pn-guided incoming missile using an improved multiple-model mechanism,y. wang; j. wang; s. fan,ieee transactions on aerospace and electronic systems,ieee,10,,5,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2259,2024,secure perception-driven control of mobile robots using chaotic encryption,x. zhang; z. yuan; s. xu; y. lu; m. zhu,ieee transactions on automatic control,ieee,4,109,4,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2269,2023,completely stealthy fdi attack against state estimation in networked control systems,y. liu; l. cheng,ieee transactions on circuits and systems ii: express briefs,ieee,16,,8,Q1,quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2270,2022,higher-order moment-based anomaly detection,v. renganathan; n. hashemi; j. ruths; t. h. summers,ieee control systems letters,ieee,16,27,5.333333333333333,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2282,2022,imposter attacks in energy market operation,s. d. roy; s. debbarma,ieee transactions on smart grid,ieee,6,130,2,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2316,2022,an isochron-based solution to the target defense game against a faster invader,h. fu; h. h. . -t. liu,ieee control systems letters,ieee,10,27,3.333333333333333,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2375,2023,cyber attacks via consumer electronics: studying the threat of covert malware in smart and autonomous vehicles,m. sayad haghighi; f. farivar; a. jolfaei; a. b. asl; w. zhou,ieee transactions on consumer electronics,ieee,44,,22,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2376,2022,rd-iwan: residual dense based imperceptible watermark attack network,c. wang; q. hao; s. xu; b. ma; z. xia; q. li; j. li; y. -q. shi,ieee transactions on circuits and systems for video technology,ieee,24,77,8,Q1,h5-index+quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2377,2023,detection and localization of stealthy cyberattacks in cyber-physical discrete event systems,r. fritz; p. zhang,ieee transactions on automatic control,ieee,25,109,12.5,Q1,h5-index+quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2378,2023,disarming attacks inside neural network models,r. dubin,ieee access,ieee,5,164,2.5,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
