workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
1235,2023,a survey of traditional and machine learning-based malware detection techniques,y. zhang; y. gu,"ieee international conference on information technology, big data and artificial intelligence (iciba)",ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1238,2023,a survey on eliminating botnet and intrusion attacks through machine learning,f. m h; m. b c,innovations in power and advanced computing technologies (i-pact),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1242,2023,using machine learning techniques to detect cyberattacks in smart homes: a survey,a. sabra; n. rmeiti; m. atieh,international scientific conference on computer science (comsci),ieee,1,,0.5,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1243,2024,detecting network anomalies using the rain optimization algorithm and hoeffding tree-based autoencoder,m. a. mohammad; m. kolahkaj,international conference on web research (icwr),ieee,2,,2,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1246,2024,secure development of machine learning against poisoning attacks,g. jares; c. lane,aiaa datc/ieee digital avionics systems conference (dasc),ieee,0,,0,,none,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1247,2024,iot network security with pca and deep learning for unmasking anomalies,e. geo francis; s. sheeja; e. f. antony john; j. joseph,ieee international conference on communication systems and network technologies (csnt),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1250,2025,mspat-cnn: multi spectral recurrent primal dual attention based deep learning model for intrusion detection system with mitigation,r. k. panchal; r. snehkunj; v. v. panchal,international conference on multi-agent systems for collaborative intelligence (icmsci),ieee,0,,,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1251,2024,designing of hybrid intrusion detection system with combined approach of lightgbm-ae and double dqn,d. sinha; a. srivastava; o. singh,international symposium on wireless personal multimedia communications (wpmc),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1252,2023,investigation of multi-stage attack and defense simulation for data synthesis,ö. sen; b. ivanov; m. henze; a. ulbig,international conference on smart energy systems and technologies (sest),ieee,1,,0.5,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1253,2024,network traffic anomaly detection based on wasserstein generative adversarial network and gated recurrent unit,z. wang; y. wang; x. hei,"international conference on natural computation, fuzzy systems and knowledge discovery (icnc-fskd)",ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1254,2024,modified ai-based learning approach to secure data using deep learning algorithms,v. s. s. r. nallapareddy,international conference on intelligent computing and emerging communication technologies (icec),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1255,2024,blockchain and ai for collaborative intrusion detection in 6g-enabled iot networks,m. chelghoum; g. bendiab; m. a. labiod; m. benmohammed; s. shiaeles; a. mellouk,ieee international conference on high performance switching and routing (hpsr),ieee,3,,3,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
