Title;Paper;Year;Venue;Dataset;Model type;NIDS granularity;Surface;Phase;Position/Access;Knowledge;Goal;Attack technique;Defense technique;Code/Data availability;Evaluation metrics
evasion generative adversarial network for low data regimes;Randhawa et al.;2023;TAI;"ISCX-2014; CIC-IDS-2017; CSE-CIC-IDS-2018";"Tabular NN; Generative";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;Adversarial retraining;Code+Data;"Accuracy; ASR; TNR; GVS"
feddef: defense against gradient leakage in federated learning-based network intrusion detection systems;Chen et al. ;2023;TIFS;"KDDCup99; CIC-IDS-2017; UNSW-NB15; Kitsune-Mirai";Tabular NN;Flow-based;Data-level;Training-time;Insider privileged;White-box;Confidentiality;"Gradient-based; Generative/Learning-based";Input perturbation;Data-only;"Accuracy; Privacy Score; ASR; Detection Error (RMSE)"
fmsa: a meta-learning framework-based fast model stealing attack technique against intelligent network intrusion detection systems;Fan et al.;2023;Cybersecurity;"CIC-IDS-2017; MCFP; USTC-TFC2016 ";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Confidentiality;"Generative/Learning-based; Surrogate/Transfer-based";None;Data-only;"Accuracy; ASR; IS; FID"
investigating on the robustness of flow-based intrusion detection system against adversarial samples using generative adversarial networks;Duy et al.;2023;JISA;"CSE-CIC-IDS-2018; InSDN ";"CNN; Tabular NN; Sequence/Temporal; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;Adversarial retraining;Data-only;"Accuracy; Recall; EIR"
label noise analysis meets adversarial training: a defense against label poisoning in federated learning;Hallaji et al.;2023;KBS;"UNSW-NB15; NIMS-Botnet ";"CNN; Tabular NN";Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;Generative/Learning-based;"Adversarial retraining; Robust training";Data-only;"Accuracy; F1"
on evasion of machine learning-based intrusion detection in smart grids;Mumrez et al.;2023;SmartGridComm;Modbus-Evasion-MTD;"Linear/Probabilistic; Tree-based";Packet-based;Feature-level;Inference-time;Insider privileged;White-box;Integrity-Evasion;Heuristic/Search-based;None;Data-only;"Accuracy; F1; Recall; Precision; FPR"
parameterizing poisoning attacks in federated learning-based intrusion detection;Merzouk et al.;2023;ARES;UNSW-NB15;Tabular NN;Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;"Label-flipping;";None;Code+Data;"Accuracy; ASR"
poisoning network flow classifiers;Severi et al.;2023;ACSAC;"CTU-13; CSE-CIC-IDS-2018; ISCX-2016";"Tabular NN; Tree-based";Flow-based;Data-level;Training-time;Insider privileged;Gray-box;Integrity-Poisoning;"Heuristic/Search-based; Generative/Learning-based";None;Code+Data;"Accuracy; Precision; Recall; F1; ASR"
raids: robust autoencoder-based intrusion detection system model against adversarial attacks;Sar?kaya et al.;2023;COSE;"CIC-IDS-2017; InSDN";"Autoencoder; KNN; Linear/Probabilistic; Tree-based";Flow-based;"Feature-level; Network-level";Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Generative/Learning-based";"Ensemble; OOD detector";Data-only;"Accuracy; F1; Recall"
realism versus performance for adversarial examples against dl-based nids;Alatwi and Morisset;2023;SAC;"WSN-DS; BoT-IoT";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;"White-box; Gray-box";Integrity-Evasion;"Gradient-based; Boundary-based; Surrogate/Transfer-based; Generative/Learning-based; Zeroth-order";None;Data-only;"ASR;PF; VAEor; VAEnb; VAEmc; UI"
tad: transfer learning-based multi-adversarial detection of evasion attacks against network intrusion detection systems;Debicha et al.;2023;FGCS;"NSL-KDD; CIC-IDS-2017";"Autoencoder; Ensemble; Tabular NN";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;"OOD detector; Ensemble";Data-only;"Precision; Recall; F1"
towards adversarial realism and robust learning for iot intrusion detection and classification;Vitorino et al.;2023;AnnalsTelecom;"IoT-23; BoT-IoT ";"Anomaly-detection; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Heuristic/Search-based;Adversarial retraining;Data-only;"Accuracy; Precision; Recall; FPR; F1"
two-phase defense against poisoning attacks on federated learning-based intrusion detection;Lai et al.;2023;COSE;CIC-IDS-2017;CNN;Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;"Gradient-based; Label-flipping";Poisoned data detection;Data-only;"Accuracy; F1"
adversarial evasion attacks practicality in networks: testing the impact of dynamic learning;elShehaby and Matrawy;2024;arXiv;CSE-CIC-IDS-2018;"CNN; Tabular NN; Linear/Probabilistic";Flow-based;Feature-level;Inference-time;Insider privileged;White-box;Integrity-Evasion;Gradient-based;Dynamic retraining;Data-only;"Accuracy; Precision; Recall; F1"
automatic evasion of machine learning-based network intrusion detection systems;Yan et al.;2024;TDSC;"CIC-IDS-2017; Custom capture";"Autoencoder; Tabular NN; Linear/Probabilistic; Tree-based";Packet-based;Network-level;Inference-time;External;Black-box;Integrity-Evasion;"Gradient-based; Morphing/Obfuscation";"Adversarial retraining; Secure MLOps (discussion only)";None;"Accuracy; AUC; ASR, TSR"
a defensive framework against adversarial attacks on machine learning-based network intrusion detection systems;Tafreshian and Zhang;2024;TrustCom;"NSL-KDD; UNSW-NB15";"Tabular NN; Linear/Probabilistic; Sequence/Temporal; Tree-based; ";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Heuristic/Search-based;"Adversarial retraining; Ensemble; Feature squeezing";Data-only;"Accuracy; Precision; Recall"
a robust snmp-mib intrusion detection system against adversarial attacks;Alslman et al.;2024;AJSE;SNMP-MIB (SNMP features) + UNSW-NB15;"Autoencoder; Tabular NN";Flow-based;Feature-level;Inference-time;Insider limited;"White-box; Gray-box";Integrity-Evasion;"Gradient-based; Zeroth-order";"Adversarial retraining; Robust training";Data-only;"Accuracy; Precision; Recall; F1; AUC"
a topological data analysis approach for detecting data poisoning attacks against machine learning based network intrusion detection systems;Monkam et al.;2024;COSE;"UNSW-NB15; CIC-IDS-2017";Unknown;Packet-based;Data-level;Training-time;Insider privileged;Gray-box;Integrity-Poisoning;"Heuristic/Search-based; Generative/Learning-based";Poisoned data detection;Data-only;"Accuracy; Precision; Recall; F1; CCR; PCR; PDP"
aag: adversarial attack generator for evaluating the robustness of machine learning models against adversarial attacks;Asimopoulos et al.;2024;BigData;OCPP-1.6-IDS (Federated OCPP 1.6 Intrusion Detection Dataset);"Tabular NN; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;"White-box; Black-box";Integrity-Evasion;"Gradient-based; Heuristic/Search-based";None;Data-only;"Accuracy; F1; Recall; FPR"
adversarial attack against intrusion detectors in cyber-physical systems with minimal perturbations;Bai et al.;2024;ISPA;Gas-Pipeline;"CNN; Tabular NN; KNN; Linear/Probabilistic; Sequence/Temporal; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;None;None;"Accuracy; Precision; Recall; F1; ASR; EIR; PSM, L_inf"
adversarial attack detection approach for intrusion detection systems;De?irmenci et al.;2024;Access;"CSE-CIC-IDS-2018; KDDCup99; ROSIDS23";CNN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;OOD detector;Data-only;"Accuracy; F1; AUC; ASR"
adversarial robustness of deep reinforcement learning-based intrusion detection;Merzouk et al.;2024;IJIS;"NSL-KDD; UNSW-NB15; CIC-IoV-2024 ";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;"White-box; Gray-box";Integrity-Evasion;Gradient-based;None;Code+Data;"FNR; FPR; F1"
advpurrec: strengthening network intrusion detection with diffusion model reconstruction against adversarial attacks;Alhussien and Aleroud;2024;TrustCom;"UNSW-NB15; CSE-CIC-IDS-2018";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;"White-box; Gray-box";Integrity-Evasion;"Gradient-based; Zeroth-order; Surrogate/Transfer-based;  Generative/Learning;";Adversarial purification;Code+Data;"Accuracy; RR; NRRI"
apollon: a robust defense system against adversarial machine learning attacks in intrusion detection systems;Paya et al.;2024;COSE;"CIC-IDS-2017; CSE-CIC-IDS-2018; CIC-DDoS-2019";"Ensemble; Tabular NN; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Zeroth-order; Boundary-based; Generative/Learning-based";Ensemble;Code+Data;"Accuracy; Recall; F1; AUC"
argan-ids: adversarial resistant intrusion detection systems using generative adversarial networks;Costa et al.;2024;ARES;Kitsune-Mirai;Autoencoder;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;Adversarial purification;Data-only;"Accuracy; Precision; Recall; F1; ASR"
black-box adversarial transferability: an empirical study in cybersecurity perspective;Roshan and Zafar;2024;COSE;CIC-DDoS-2019 ;Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer-based";None;Data-only;"Accuracy; Precision; Recall; F1; AUC"
boosting robustness of network intrusion detection systems: a novel two phase defense strategy against untargeted white-box optimization adversarial attack;Roshan and Zafar;2024;ESWA;CIC-DDoS-2019 ;Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;"Adversarial retraining; Feature squeezing";Data-only;"Accuracy; Precision; Recall; F1; AUC"
